ETABLISSEMENT_ID,NBRE_ENTREPRISE,CATEGORIE-0,CATEGORIE-1,CATEGORIE-2,CATEGORIE-3,CATEGORIE-4,CATEGORIE-5,CATEGORIE-6,CATEGORIE-7,CATEGORIE-8,CODGEO
et1083,193,114,51,11,6,7,2,1,1,0,1091
et1084,64,49,13,1,1,0,0,0,0,0,1092
et1085,388,223,112,24,18,8,1,0,2,0,1093
et1086,28,21,6,0,0,1,0,0,0,0,1094
et1087,33,28,4,0,0,0,1,0,0,0,1095
et1088,41,27,11,1,2,0,0,0,0,0,1096
et1089,7,4,3,0,0,0,0,0,0,0,1097
et1090,65,32,18,6,3,5,1,0,0,0,1098
et1091,91,60,27,3,0,1,0,0,0,0,1099
et1092,7,6,1,0,0,0,0,0,0,0,1100
et1093,5,4,1,0,0,0,0,0,0,0,1101
et1094,32,22,6,1,2,1,0,0,0,0,1102
et1095,22,18,3,0,1,0,0,0,0,0,1103
et1096,23,11,11,0,1,0,0,0,0,0,1104
et1097,103,73,23,2,2,2,1,0,0,0,1105
et1098,7,6,1,0,0,0,0,0,0,0,1106
et1099,3,3,0,0,0,0,0,0,0,0,1107
et1100,76,50,20,4,2,0,0,0,0,0,1108
et1101,75,59,13,2,1,0,0,0,0,0,1109
et1102,9,6,3,0,0,0,0,0,0,0,1110
et1103,4,3,1,0,0,0,0,0,0,0,1111
et1104,20,14,4,2,0,0,0,0,0,0,1112
et1105,35,24,7,3,1,0,0,0,0,0,1113
et1106,23,16,5,0,0,0,2,0,0,0,1114
et1107,56,37,12,4,2,1,0,0,0,0,1115
et1108,19,15,4,0,0,0,0,0,0,0,1116
et1109,4,4,0,0,0,0,0,0,0,0,1117
et1110,52,40,7,2,2,0,0,1,0,0,1118
et1111,6,5,1,0,0,0,0,0,0,0,1119
et1112,6,5,0,1,0,0,0,0,0,0,1121
et1113,38,28,7,1,1,1,0,0,0,0,1122
et1114,42,32,7,0,0,2,1,0,0,0,1123
et1115,28,19,9,0,0,0,0,0,0,0,1124
et1116,26,16,6,0,1,3,0,0,0,0,1125
et1117,24,21,3,0,0,0,0,0,0,0,1127
et1118,15,10,2,1,1,0,0,1,0,0,1128
et1119,7,6,1,0,0,0,0,0,0,0,1129
et1120,47,32,9,1,4,1,0,0,0,0,1130
et1121,10,8,2,0,0,0,0,0,0,0,1133
et1122,100,64,27,3,2,3,1,0,0,0,1134
et1123,99,70,19,5,4,0,1,0,0,0,1135
et1124,22,20,2,0,0,0,0,0,0,0,1136
et1125,176,119,44,4,2,4,2,0,0,1,1138
et1126,19,11,6,1,1,0,0,0,0,0,1139
et1127,27,17,7,1,0,2,0,0,0,0,1140
et1128,9,6,3,0,0,0,0,0,0,0,1141
et1129,272,158,64,18,15,13,3,0,1,0,1142
et1130,534,373,125,17,13,4,0,1,1,0,1143
et1131,19,17,2,0,0,0,0,0,0,0,1144
et1132,58,48,8,0,1,1,0,0,0,0,1145
et1133,24,21,2,1,0,0,0,0,0,0,1146
et1134,23,19,4,0,0,0,0,0,0,0,1147
et1135,93,51,32,7,2,1,0,0,0,0,1148
et1136,24,20,4,0,0,0,0,0,0,0,1149
et1137,6,4,1,1,0,0,0,0,0,0,1150
et1138,57,43,14,0,0,0,0,0,0,0,1151
et1139,29,24,4,1,0,0,0,0,0,0,1152
et1140,52,44,6,1,1,0,0,0,0,0,1153
et1141,29,18,8,1,0,0,2,0,0,0,1154
et1142,11,9,2,0,0,0,0,0,0,0,1155
et1143,21,14,7,0,0,0,0,0,0,0,1156
et1144,167,123,30,6,8,0,0,0,0,0,1157
et1145,20,16,4,0,0,0,0,0,0,0,1158
et1146,220,130,53,15,12,6,3,0,1,0,1159
et1147,665,394,182,43,26,14,4,2,0,0,1160
et1148,4,4,0,0,0,0,0,0,0,0,1162
et1149,81,58,18,3,2,0,0,0,0,0,1163
et1150,42,36,4,1,0,1,0,0,0,0,1165
et1151,109,77,25,3,1,3,0,0,0,0,1166
et1152,35,26,8,0,0,1,0,0,0,0,1167
et1153,21,16,5,0,0,0,0,0,0,0,1169
et1154,42,25,10,0,3,4,0,0,0,0,1170
et1155,45,31,10,2,0,1,1,0,0,0,1171
et1156,6,6,0,0,0,0,0,0,0,0,1172
et1157,494,342,114,25,6,6,1,0,0,0,1173
et1158,10,9,1,0,0,0,0,0,0,0,1174
et1159,29,18,4,1,4,2,0,0,0,0,1175
et1160,6,5,1,0,0,0,0,0,0,0,1176
et1161,2,2,0,0,0,0,0,0,0,0,1177
et1162,86,67,15,1,2,0,0,0,1,0,1179
et1163,28,20,7,1,0,0,0,0,0,0,1180
et1164,93,48,15,7,9,11,2,1,0,0,1181
et1165,25,20,3,1,1,0,0,0,0,0,1182
et1166,122,63,37,8,11,3,0,0,0,0,1183
et1167,35,28,5,2,0,0,0,0,0,0,1184
et1168,238,132,78,10,10,5,1,1,1,0,1185
et1169,4,4,0,0,0,0,0,0,0,0,1186
et1170,42,27,12,2,0,1,0,0,0,0,1187
et1171,29,23,5,1,0,0,0,0,0,0,1188
et1172,37,29,6,1,0,1,0,0,0,0,1189
et1173,6,5,1,0,0,0,0,0,0,0,1190
et1174,12,10,2,0,0,0,0,0,0,0,1191
et1175,156,71,44,12,13,9,4,3,0,0,1192
et1176,4,4,0,0,0,0,0,0,0,0,1193
et1177,330,209,84,16,12,5,3,1,0,0,1194
et1178,73,45,14,3,6,4,1,0,0,0,1195
et1179,55,30,17,4,2,1,1,0,0,0,1196
et1180,18,16,1,1,0,0,0,0,0,0,1197
et1181,8,6,2,0,0,0,0,0,0,0,1198
et1182,110,82,16,4,4,2,2,0,0,0,1199
et1183,14,11,3,0,0,0,0,0,0,0,1200
et1184,394,278,83,11,16,3,1,1,1,0,1202
et1185,56,37,12,2,3,0,1,1,0,0,1203
et1186,14,8,5,0,1,0,0,0,0,0,1204
et1187,36,25,6,2,2,1,0,0,0,0,1205
et1188,5,4,0,0,0,1,0,0,0,0,1206
et1189,19,12,6,0,0,1,0,0,0,0,1207
et1190,7,6,1,0,0,0,0,0,0,0,1208
et1191,13,12,1,0,0,0,0,0,0,0,1209
et1192,61,35,23,3,0,0,0,0,0,0,1210
et1193,47,31,13,0,1,2,0,0,0,0,1211
et1194,31,26,3,2,0,0,0,0,0,0,1212
et1195,64,46,9,3,4,1,1,0,0,0,1213
et1196,3,3,0,0,0,0,0,0,0,0,1214
et1197,1,1,0,0,0,0,0,0,0,0,1215
et1198,53,43,9,0,0,0,1,0,0,0,1216
et1199,11,10,1,0,0,0,0,0,0,0,1218
et1200,8,7,1,0,0,0,0,0,0,0,1219
et1201,7,6,1,0,0,0,0,0,0,0,1221
et1202,170,109,39,8,5,5,4,0,0,0,1224
et1203,9,8,1,0,0,0,0,0,0,0,1225
et1204,15,13,0,0,0,2,0,0,0,0,1227
et1205,50,29,14,2,4,0,1,0,0,0,1228
et1206,47,30,10,5,2,0,0,0,0,0,1229
et1207,8,5,1,1,1,0,0,0,0,0,1230
et1208,90,47,29,4,3,5,1,1,0,0,1231
et1209,130,93,29,3,3,1,1,0,0,0,1232
et1210,4,4,0,0,0,0,0,0,0,0,1233
et1211,9,8,0,0,1,0,0,0,0,0,1234
et1212,54,38,12,2,2,0,0,0,0,0,1235
et1213,24,19,4,1,0,0,0,0,0,0,1236
et1214,103,50,34,4,4,7,2,2,0,0,1237
et1215,138,84,37,8,5,2,1,1,0,0,1238
et1216,41,33,7,0,1,0,0,0,0,0,1239
et1217,33,27,6,0,0,0,0,0,0,0,1240
et1218,73,54,12,2,4,0,1,0,0,0,1241
et1219,3,2,0,1,0,0,0,0,0,0,1242
et1220,83,64,17,2,0,0,0,0,0,0,1243
et1221,516,320,144,25,17,9,0,1,0,0,1244
et1222,41,34,6,0,1,0,0,0,0,0,1245
et1223,133,96,29,3,3,2,0,0,0,0,1246
et1224,51,36,11,3,1,0,0,0,0,0,1247
et1225,138,99,29,4,5,1,0,0,0,0,1248
et1226,690,412,168,40,28,29,8,3,2,0,1249
et1227,78,63,13,1,1,0,0,0,0,0,1250
et1228,29,20,7,2,0,0,0,0,0,0,1252
et1229,127,66,42,8,8,3,0,0,0,0,1254
et1230,18,12,4,1,1,0,0,0,0,0,1255
et1231,14,11,2,0,1,0,0,0,0,0,1257
et1232,47,32,14,0,0,1,0,0,0,0,1258
et1233,23,22,1,0,0,0,0,0,0,0,1259
et1234,10,7,3,0,0,0,0,0,0,0,1260
et1235,38,28,8,0,0,2,0,0,0,0,1261
et1236,395,267,94,15,10,6,1,1,0,1,1262
et1237,213,128,59,14,8,1,3,0,0,0,1263
et1238,42,29,12,0,1,0,0,0,0,0,1264
et1239,257,143,78,16,8,6,3,3,0,0,1265
et1240,185,93,61,11,10,10,0,0,0,0,1266
et1241,56,31,15,2,6,1,0,1,0,0,1267
et1242,22,15,6,1,0,0,0,0,0,0,1268
et1243,231,150,55,12,8,3,3,0,0,0,1269
et1244,26,24,2,0,0,0,0,0,0,0,1271
et1245,92,60,27,1,2,2,0,0,0,0,1272
et1246,76,54,15,2,1,3,0,0,1,0,1273
et1247,23,12,5,2,3,1,0,0,0,0,1274
et1248,240,148,52,11,15,11,1,2,0,0,1275
et1249,94,71,16,0,4,3,0,0,0,0,1276
et1250,4,4,0,0,0,0,0,0,0,0,1277
et1251,4,4,0,0,0,0,0,0,0,0,1279
et1252,13,11,2,0,0,0,0,0,0,0,1280
et1253,147,103,30,7,4,3,0,0,0,0,1281
et1254,9,6,1,0,1,0,1,0,0,0,1282
et1255,1516,857,444,80,78,36,14,6,1,0,1283
et1256,37,23,9,4,0,1,0,0,0,0,1284
et1257,46,34,9,1,0,2,0,0,0,0,1285
et1258,8,7,1,0,0,0,0,0,0,0,1286
et1259,80,57,16,2,4,1,0,0,0,0,1288
et1260,420,227,119,29,20,17,5,2,0,1,1289
et1261,104,71,25,6,1,1,0,0,0,0,1290
et1262,31,19,8,1,1,1,1,0,0,0,1291
et1263,12,9,2,0,1,0,0,0,0,0,1292
et1264,9,9,0,0,0,0,0,0,0,0,1293
et1265,36,25,7,1,1,2,0,0,0,0,1294
et1266,22,17,3,2,0,0,0,0,0,0,1295
et1267,11,8,3,0,0,0,0,0,0,0,1296
et1268,28,20,6,1,1,0,0,0,0,0,1297
et1269,4,3,1,0,0,0,0,0,0,0,1298
et1270,25,23,2,0,0,0,0,0,0,0,1299
et1271,15,12,3,0,0,0,0,0,0,0,1300
et1272,123,79,31,8,1,4,0,0,0,0,1301
et1273,10,8,1,0,0,1,0,0,0,0,1302
et1274,102,73,21,4,1,1,1,0,1,0,1303
et1275,206,129,53,9,11,2,2,0,0,0,1304
et1276,245,144,70,13,13,3,1,1,0,0,1305
et1277,92,65,19,3,2,2,1,0,0,0,1306
et1278,68,36,18,7,2,1,3,1,0,0,1307
et1279,21,18,3,0,0,0,0,0,0,0,1308
et1280,1,1,0,0,0,0,0,0,0,0,1309
et1281,12,8,2,0,0,1,1,0,0,0,1310
et1282,3,1,2,0,0,0,0,0,0,0,1311
et1283,12,9,3,0,0,0,0,0,0,0,1312
et1284,203,155,34,6,7,1,0,0,0,0,1313
et1285,86,56,25,2,2,0,1,0,0,0,1314
et1286,13,11,2,0,0,0,0,0,0,0,1316
et1287,4,4,0,0,0,0,0,0,0,0,1317
et1288,35,22,10,1,2,0,0,0,0,0,1318
et1289,29,23,6,0,0,0,0,0,0,0,1319
et1290,191,107,47,13,10,12,1,1,0,0,1320
et1291,31,25,6,0,0,0,0,0,0,0,1321
et1292,305,212,57,16,5,7,5,1,1,1,1322
et1293,45,39,4,0,0,2,0,0,0,0,1323
et1294,36,26,7,2,0,1,0,0,0,0,1325
et1295,30,20,6,1,0,2,1,0,0,0,1328
et1296,7,7,0,0,0,0,0,0,0,0,1329
et1297,18,14,4,0,0,0,0,0,0,0,1330
et1298,8,7,1,0,0,0,0,0,0,0,1331
et1299,25,14,8,1,1,1,0,0,0,0,1332
et1300,244,145,64,15,13,4,3,0,0,0,1333
et1301,28,21,6,0,1,0,0,0,0,0,1334
et1302,11,4,6,0,1,0,0,0,0,0,1335
et1303,35,25,8,1,0,0,0,1,0,0,1336
et1304,53,37,9,3,3,0,1,0,0,0,1337
et1305,51,36,10,1,2,1,1,0,0,0,1338
et1306,69,55,12,1,0,0,1,0,0,0,1339
et1307,5,3,2,0,0,0,0,0,0,0,1340
et1308,9,9,0,0,0,0,0,0,0,0,1341
et1309,24,15,6,2,0,1,0,0,0,0,1342
et1310,88,60,20,1,4,1,1,0,1,0,1343
et1311,295,175,74,24,13,5,4,0,0,0,1344
et1312,89,69,17,3,0,0,0,0,0,0,1345
et1313,34,25,8,0,1,0,0,0,0,0,1346
et1314,94,75,18,0,0,1,0,0,0,0,1347
et1315,174,106,44,12,7,3,1,1,0,0,1348
et1316,19,15,4,0,0,0,0,0,0,0,1349
et1317,113,63,36,5,6,2,1,0,0,0,1350
et1318,62,49,12,0,1,0,0,0,0,0,1351
et1319,14,13,0,0,1,0,0,0,0,0,1352
et1320,76,44,28,2,2,0,0,0,0,0,1353
et1321,543,329,128,38,27,16,5,0,0,0,1354
et1322,19,13,4,0,2,0,0,0,0,0,1355
et1323,11,8,3,0,0,0,0,0,0,0,1356
et1324,18,14,3,1,0,0,0,0,0,0,1357
et1325,14,9,4,0,1,0,0,0,0,0,1358
et1326,10,8,2,0,0,0,0,0,0,0,1359
et1327,72,54,10,1,4,3,0,0,0,0,1360
et1328,83,65,14,2,0,0,1,1,0,0,1361
et1329,42,22,18,1,1,0,0,0,0,0,1362
et1330,91,63,21,3,2,1,0,1,0,0,1363
et1331,29,24,4,0,0,0,1,0,0,0,1364
et1332,48,33,11,1,2,1,0,0,0,0,1365
et1333,26,19,3,1,0,2,0,0,1,0,1366
et1334,35,23,7,2,3,0,0,0,0,0,1367
et1335,26,19,4,1,1,1,0,0,0,0,1368
et1336,53,36,9,4,1,0,2,1,0,0,1369
et1337,137,95,31,9,2,0,0,0,0,0,1370
et1338,39,30,8,1,0,0,0,0,0,0,1371
et1339,22,17,3,2,0,0,0,0,0,0,1372
et1340,76,50,15,1,4,4,2,0,0,0,1373
et1341,87,65,15,2,4,1,0,0,0,0,1374
et1342,19,16,1,1,0,1,0,0,0,0,1375
et1343,207,135,35,11,10,8,4,2,2,0,1376
et1344,109,80,23,1,4,0,1,0,0,0,1378
et1345,19,16,3,0,0,0,0,0,0,0,1379
et1346,31,22,8,1,0,0,0,0,0,0,1380
et1347,39,27,11,1,0,0,0,0,0,0,1381
et1348,16,11,5,0,0,0,0,0,0,0,1382
et1349,75,53,14,3,2,1,2,0,0,0,1383
et1350,134,97,28,1,3,3,2,0,0,0,1384
et1351,50,28,15,2,1,2,2,0,0,0,1385
et1352,57,38,12,2,4,0,0,1,0,0,1386
et1353,9,8,1,0,0,0,0,0,0,0,1387
et1354,74,45,17,5,3,4,0,0,0,0,1388
et1355,122,86,30,0,2,3,1,0,0,0,1389
et1356,180,87,31,15,16,9,8,10,3,1,1390
et1357,13,10,1,0,0,2,0,0,0,0,1391
et1358,26,20,5,0,0,1,0,0,0,0,1392
et1359,30,25,4,0,1,0,0,0,0,0,1393
et1360,45,33,7,0,3,2,0,0,0,0,1396
et1361,33,31,1,0,1,0,0,0,0,0,1397
et1362,75,49,20,1,2,3,0,0,0,0,1398
et1363,77,41,29,0,5,1,0,1,0,0,1399
et1364,8,8,0,0,0,0,0,0,0,0,1400
et1365,40,35,5,0,0,0,0,0,0,0,1401
et1366,17,12,4,0,1,0,0,0,0,0,1402
et1367,66,47,17,1,0,1,0,0,0,0,1403
et1368,7,7,0,0,0,0,0,0,0,0,1404
et1369,49,30,12,3,1,0,0,3,0,0,1405
et1370,4,4,0,0,0,0,0,0,0,0,1406
et1371,63,46,15,0,2,0,0,0,0,0,1407
et1372,28,18,5,3,0,1,1,0,0,0,1408
et1373,4,3,0,0,1,0,0,0,0,0,1409
et1374,12,7,4,1,0,0,0,0,0,0,1410
et1375,6,5,1,0,0,0,0,0,0,0,1411
et1376,30,24,3,1,2,0,0,0,0,0,1412
et1377,1,0,1,0,0,0,0,0,0,0,1413
et1378,10,8,2,0,0,0,0,0,0,0,1414
et1379,22,18,2,1,0,1,0,0,0,0,1415
et1380,45,30,13,1,0,0,1,0,0,0,1416
et1381,7,4,3,0,0,0,0,0,0,0,1417
et1382,47,30,12,2,1,1,0,1,0,0,1418
et1383,287,150,87,27,15,6,0,1,1,0,1419
et1384,115,82,29,2,2,0,0,0,0,0,1420
et1385,28,17,7,0,1,3,0,0,0,0,1421
et1386,80,50,21,4,2,0,2,1,0,0,1422
et1387,45,42,3,0,0,0,0,0,0,0,1423
et1388,85,63,16,2,3,1,0,0,0,0,1424
et1389,9,2,7,0,0,0,0,0,0,0,1425
et1390,122,84,23,2,5,4,4,0,0,0,1426
et1391,510,333,109,31,21,6,7,2,1,0,1427
et1392,7,6,1,0,0,0,0,0,0,0,1428
et1393,18,14,2,1,1,0,0,0,0,0,1429
et1394,21,15,5,0,1,0,0,0,0,0,1430
et1395,58,37,14,4,1,1,1,0,0,0,1431
et1396,12,9,3,0,0,0,0,0,0,0,1432
et1397,9,7,0,0,0,1,1,0,0,0,1433
et1398,21,16,5,0,0,0,0,0,0,0,1434
et1399,55,48,7,0,0,0,0,0,0,0,1435
et1400,17,16,1,0,0,0,0,0,0,0,1436
et1401,5,5,0,0,0,0,0,0,0,0,1437
et1402,10,9,1,0,0,0,0,0,0,0,1439
et1403,43,25,9,4,2,3,0,0,0,0,1441
et1404,16,15,1,0,0,0,0,0,0,0,1442
et1405,307,194,75,16,7,10,4,1,0,0,1443
et1406,49,39,6,2,1,1,0,0,0,0,1444
et1407,25,20,4,0,1,0,0,0,0,0,1445
et1408,85,61,20,3,1,0,0,0,0,0,1446
et1409,61,40,13,2,3,0,3,0,0,0,1447
et1410,9,6,3,0,0,0,0,0,0,0,1448
et1411,54,40,12,2,0,0,0,0,0,0,1449
et1412,184,138,35,5,2,2,2,0,0,0,1450
et1413,503,238,129,50,40,31,11,4,0,0,1451
et1414,63,44,12,1,6,0,0,0,0,0,1452
et1415,19,13,5,1,0,0,0,0,0,0,1453
et1416,61,40,14,5,1,1,0,0,0,0,1454
et1417,6,5,0,1,0,0,0,0,0,0,1456
et1418,201,125,52,7,8,5,3,1,0,0,1457
et1419,21,15,4,0,1,1,0,0,0,0,2001
et1420,21,16,5,0,0,0,0,0,0,0,2002
et1421,28,20,5,0,2,0,0,1,0,0,2003
et1422,1,1,0,0,0,0,0,0,0,0,2004
et1423,13,12,1,0,0,0,0,0,0,0,2005
et1424,15,11,3,1,0,0,0,0,0,0,2006
et1425,3,3,0,0,0,0,0,0,0,0,2007
et1426,4,3,1,0,0,0,0,0,0,0,2008
et1427,14,11,3,0,0,0,0,0,0,0,2009
et1428,6,4,1,0,1,0,0,0,0,0,2010
et1429,49,36,10,1,1,1,0,0,0,0,2011
et1430,4,4,0,0,0,0,0,0,0,0,2012
et1431,24,17,6,0,0,1,0,0,0,0,2013
et1432,22,19,2,0,1,0,0,0,0,0,2014
et1433,5,4,1,0,0,0,0,0,0,0,2015
et1434,6,4,1,1,0,0,0,0,0,0,2016
et1435,13,13,0,0,0,0,0,0,0,0,2017
et1436,83,49,25,3,1,3,1,0,1,0,2018
et1437,9,5,4,0,0,0,0,0,0,0,2019
et1438,16,12,3,0,1,0,0,0,0,0,2020
et1439,4,4,0,0,0,0,0,0,0,0,2021
et1440,10,3,5,0,2,0,0,0,0,0,2022
et1441,6,3,3,0,0,0,0,0,0,0,2023
et1442,1,1,0,0,0,0,0,0,0,0,2024
et1443,10,6,3,1,0,0,0,0,0,0,2025
et1444,6,6,0,0,0,0,0,0,0,0,2026
et1445,9,6,3,0,0,0,0,0,0,0,2027
et1446,85,53,20,3,3,4,0,2,0,0,2028
et1447,9,6,2,1,0,0,0,0,0,0,2029
et1448,9,6,3,0,0,0,0,0,0,0,2030
et1449,33,22,7,2,1,1,0,0,0,0,2031
et1450,6,4,1,0,1,0,0,0,0,0,2032
et1451,2,2,0,0,0,0,0,0,0,0,2033
et1452,0,0,0,0,0,0,0,0,0,0,2034
et1453,9,8,1,0,0,0,0,0,0,0,2035
et1454,1,1,0,0,0,0,0,0,0,0,2036
et1455,38,27,5,3,2,1,0,0,0,0,2037
et1456,1,0,1,0,0,0,0,0,0,0,2038
et1457,11,7,4,0,0,0,0,0,0,0,2039
et1458,6,3,2,0,1,0,0,0,0,0,2040
et1459,24,15,8,0,0,1,0,0,0,0,2041
et1460,17,14,2,0,0,1,0,0,0,0,2042
et1461,1,1,0,0,0,0,0,0,0,0,2043
et1462,1,1,0,0,0,0,0,0,0,0,2044
et1463,16,9,6,0,1,0,0,0,0,0,2046
et1464,4,4,0,0,0,0,0,0,0,0,2047
et1465,7,4,2,1,0,0,0,0,0,0,2048
et1466,24,17,4,1,1,1,0,0,0,0,2049
et1467,6,5,1,0,0,0,0,0,0,0,2050
et1468,12,9,3,0,0,0,0,0,0,0,2051
et1469,4,4,0,0,0,0,0,0,0,0,2052
et1470,7,6,1,0,0,0,0,0,0,0,2053
et1471,16,14,2,0,0,0,0,0,0,0,2054
et1472,3,2,1,0,0,0,0,0,0,0,2055
et1473,6,5,1,0,0,0,0,0,0,0,2056
et1474,55,34,15,0,5,0,1,0,0,0,2057
et1475,42,26,11,2,2,1,0,0,0,0,2058
et1476,75,48,16,1,4,4,0,1,1,0,2059
et1477,11,7,3,0,0,1,0,0,0,0,2060
et1478,5,5,0,0,0,0,0,0,0,0,2061
et1479,6,6,0,0,0,0,0,0,0,0,2062
et1480,15,14,1,0,0,0,0,0,0,0,2063
et1481,89,47,30,7,1,3,1,0,0,0,2064
et1482,18,13,4,1,0,0,0,0,0,0,2065
et1483,6,2,1,2,1,0,0,0,0,0,2066
et1484,7,3,4,0,0,0,0,0,0,0,2067
et1485,5,5,0,0,0,0,0,0,0,0,2068
et1486,2,2,0,0,0,0,0,0,0,0,2069
et1487,12,10,1,1,0,0,0,0,0,0,2070
et1488,36,24,8,3,1,0,0,0,0,0,2071
et1489,6,4,2,0,0,0,0,0,0,0,2072
et1490,16,8,3,2,1,2,0,0,0,0,2073
et1491,18,16,1,1,0,0,0,0,0,0,2074
et1492,8,5,3,0,0,0,0,0,0,0,2075
et1493,7,5,2,0,0,0,0,0,0,0,2076
et1494,10,6,4,0,0,0,0,0,0,0,2077
et1495,5,5,0,0,0,0,0,0,0,0,2078
et1496,4,3,1,0,0,0,0,0,0,0,2079
et1497,12,8,4,0,0,0,0,0,0,0,2080
et1498,9,6,3,0,0,0,0,0,0,0,2081
et1499,2,2,0,0,0,0,0,0,0,0,2082
et1500,21,18,3,0,0,0,0,0,0,0,2083
et1501,11,10,1,0,0,0,0,0,0,0,2084
et1502,36,24,5,2,3,2,0,0,0,0,2085
et1503,25,22,1,0,2,0,0,0,0,0,2086
et1504,0,0,0,0,0,0,0,0,0,0,2087
et1505,1,1,0,0,0,0,0,0,0,0,2088
et1506,51,32,7,1,7,2,1,1,0,0,2089
et1507,6,3,3,0,0,0,0,0,0,0,2090
et1508,3,3,0,0,0,0,0,0,0,0,2091
